City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,orange walk,17.8333,-88.8333,74.23,99,100,2.13,BZ,1699915976
130,namdrik,5.5994,168.1028,82.22,76,100,6.08,MH,1699915977
131,hopelchen,19.7667,-89.85,82.94,63,80,0.63,MX,1699915977
132,cockburn town,21.4612,-71.1419,82.4,77,1,18.59,TC,1699915977
133,akureyri,65.6835,-18.0878,35.53,80,40,6.91,IS,1699915977
134,longyearbyen,78.2186,15.6401,13.84,73,75,6.91,SJ,1699915822
135,ribeira grande,38.5167,-28.7,59.77,91,100,5.01,PT,1699915977
136,bikaner,28.0167,73.3,67.86,34,100,7.07,IN,1699915977
137,ketchikan,55.3422,-131.6461,43.34,65,0,8.05,US,1699915978
138,wittingen,52.7269,10.7361,51.8,100,52,19.3,DE,1699915978
139,tacna,-18.0056,-70.2483,62.8,82,100,9.22,PE,1699915978
140,shumen,43.2706,26.9229,44.69,67,1,2.59,BG,1699915978
141,vila velha,-20.3297,-40.2925,80.94,82,0,10.36,BR,1699915978
142,kiunga,-6.1219,141.2906,82.15,69,37,1.01,PG,1699915945
143,remire-montjoly,4.9167,-52.2667,80.64,83,0,1.14,GF,1699915978
144,enewetak,11.3474,162.3373,83.12,80,96,18.63,MH,1699915979
145,zambezi,-13.5432,23.1047,70.0,75,91,4.65,ZM,1699915979
146,afaahiti,-17.75,-149.2833,82.27,84,100,10.22,PF,1699915979
147,burang,30.25,81.1667,23.5,54,34,3.24,CN,1699915979
148,hawaiian paradise park,19.5933,-154.9731,81.9,75,75,8.05,US,1699915951
149,la passe,45.5549,-0.8967,62.83,95,100,14.16,FR,1699915979
150,rio preto da eva,-2.6994,-59.6997,86.18,51,100,2.26,BR,1699915979
151,gaigeturi,33.4644,126.3183,51.85,50,75,4.61,KR,1699915966
152,tursunzoda,38.5144,68.2333,52.79,31,0,6.46,TJ,1699915980
153,mount pearl,47.5166,-52.7813,32.14,80,100,5.75,CA,1699915958
154,villa la angostura,-40.7617,-71.6463,37.44,98,100,10.18,AR,1699915980
155,eenhana,-17.4667,16.3333,78.91,36,78,3.38,NA,1699915980
156,vilyuchinsk,52.9306,158.4028,27.93,79,100,7.78,RU,1699915871
157,dakhla,23.6848,-15.958,70.3,69,61,11.16,EH,1699915980
158,sitka,57.0531,-135.33,40.89,70,75,5.75,US,1699915978
159,whitehorse,60.7161,-135.0538,23.02,86,100,18.41,CA,1699915981
160,tsiombe,-25.3,45.4833,70.84,80,93,3.53,MG,1699915981
161,wailua homesteads,22.0669,-159.378,82.83,70,75,16.11,US,1699915981
162,watampone,-4.5386,120.3279,80.83,77,92,1.59,ID,1699915981
163,tindouf,27.6711,-8.1474,70.25,30,0,4.61,DZ,1699915981
164,new norfolk,-42.7826,147.0587,58.91,44,78,5.82,AU,1699915982
165,red hill,33.9996,-79.2581,60.66,79,47,2.84,US,1699915982
166,harper,4.375,-7.7169,78.71,88,2,7.4,LR,1699915982
167,bikenibeu village,1.3673,173.1241,82.98,78,99,14.7,KI,1699915982
168,san ignacio de velasco,-16.3667,-60.95,89.49,43,76,8.19,BO,1699915982
169,lerwick,60.1545,-1.1494,46.4,73,91,16.89,GB,1699915982
170,amos,48.5669,-78.1162,32.5,99,100,5.93,CA,1699915933
171,nova sintra,14.8667,-24.7167,74.84,72,79,8.99,CV,1699915983
172,taoudenni,22.6783,-3.9836,78.8,17,4,14.18,ML,1699915983
173,naze,28.3667,129.4833,58.12,65,88,9.31,JP,1699915983
174,saint-joseph,-21.3667,55.6167,71.47,83,77,5.06,RE,1699915983
175,pita,10.8333,-12.5833,73.2,39,2,4.21,GN,1699915983
176,boguchany,58.3814,97.4531,33.85,97,100,10.0,RU,1699915984
177,barabai,-2.5833,115.3833,75.88,93,94,1.28,ID,1699915984
178,ust-tsilma,65.441,52.1498,22.6,95,100,3.0,RU,1699915984
179,veitsbronn,49.5124,10.888,53.76,87,75,11.5,DE,1699915984
180,joshimath,30.5667,79.5667,50.4,30,98,6.87,IN,1699915985
181,praia da vitoria,38.7333,-27.0667,60.76,94,75,5.53,PT,1699915985
182,mount gambier,-37.8333,140.7667,54.1,82,100,1.39,AU,1699915985
183,saint-laurent-du-maroni,5.5039,-54.0289,78.21,87,13,5.37,GF,1699915985
184,belton,38.812,-94.5319,69.46,45,0,8.05,US,1699915847
185,lianzhou,24.7811,112.3825,47.82,88,99,3.15,CN,1699915986
186,papao,-17.75,-149.55,83.88,88,100,12.41,PF,1699915986
187,berdigestyakh,62.0989,126.6992,-7.06,100,100,3.44,RU,1699915986
188,oyon,-10.6681,-76.7731,50.67,85,100,2.19,PE,1699915987
189,izluchinsk,60.9794,76.9242,15.82,97,65,3.33,RU,1699915987
190,sarmiento,-45.5882,-69.07,47.73,35,44,34.4,AR,1699915987
191,alaghsas,17.0187,8.0168,74.37,15,1,10.54,NE,1699915987
192,hammerfest,70.6634,23.6821,27.05,86,20,4.61,NO,1699915988
193,anacapri,40.5558,14.2136,62.13,89,40,6.91,IT,1699915988
194,guanica,17.9716,-66.908,84.51,70,5,9.91,PR,1699915988
195,fiambala,-27.6871,-67.6149,68.94,32,2,9.42,AR,1699915988
196,achinsk,56.2694,90.4993,34.2,85,100,11.01,RU,1699915989
197,indianola,41.3581,-93.5574,64.2,38,2,5.68,US,1699915989
198,farafangana,-22.8167,47.8333,72.05,91,28,5.7,MG,1699915989
199,port isabel,26.0734,-97.2086,64.44,90,100,21.85,US,1699915989
200,hermanus,-34.4187,19.2345,60.44,79,4,20.0,ZA,1699915989
201,lata,40.1629,-8.3327,60.93,94,43,3.51,PT,1699915990
202,vigan,17.5747,120.3869,82.92,93,67,12.19,PH,1699915990
203,myrina,39.8797,25.0742,51.04,87,0,0.0,GR,1699915990
204,ulsteinvik,62.3432,5.8487,37.76,75,0,8.99,NO,1699915990
205,altamira,-3.2033,-52.2064,89.71,36,64,2.06,BR,1699915990
206,shenyang,41.7922,123.4328,19.42,79,51,4.47,CN,1699915882
207,tubarjal,30.4999,38.216,70.29,38,55,8.52,SA,1699915991
208,haiku-pauwela,20.9219,-156.3051,83.17,55,0,23.02,US,1699915853
209,susuman,62.7833,148.1667,-28.23,99,79,0.6,RU,1699915991
210,khao yoi,13.2403,99.8243,75.27,94,96,6.51,TH,1699915991
211,rongelap,11.1635,166.8941,82.49,84,100,17.52,MH,1699915991
212,holualoa,19.6228,-155.9522,82.54,67,40,9.22,US,1699915992
213,bechar,31.6167,-2.2167,62.92,25,0,0.0,DZ,1699915992
214,fale old settlement,-9.3852,-171.2468,83.07,77,100,15.32,TK,1699915940
215,scotts valley,37.0511,-122.0147,72.18,72,68,3.0,US,1699915992
216,chui,-33.6971,-53.4616,60.96,89,100,12.62,UY,1699915907
217,mata-utu,-13.2816,-176.1745,83.95,74,52,8.57,WF,1699915992
218,kavieng,-2.5744,150.7967,82.94,69,100,4.63,PG,1699915993
219,leava,-14.3,-178.1667,83.26,84,96,14.2,WF,1699915993
220,santiago,-33.4569,-70.6483,71.04,37,0,9.22,CL,1699915708
221,richards bay,-28.783,32.0377,63.93,84,100,10.51,ZA,1699915993
222,kodiak,57.79,-152.4072,44.11,49,20,18.41,US,1699915839
223,tateyama,34.9833,139.8667,54.39,49,2,4.74,JP,1699915993
224,geraldton,-28.7667,114.6,70.21,83,100,9.22,AU,1699915994
225,ola,59.5833,151.2833,3.18,78,80,12.84,RU,1699915994
226,mustafakemalpasa,40.0353,28.4117,53.65,86,85,1.01,TR,1699915994
227,atafu village,-8.5421,-172.5159,84.07,78,95,9.62,TK,1699915852
228,podporozh'ye,60.9112,34.1706,32.02,95,100,5.26,RU,1699915994
229,baoro,5.6667,15.9667,69.71,92,64,2.1,CF,1699915994
230,coquimbo,-29.9533,-71.3436,64.13,63,0,13.8,CL,1699915995
231,farap,39.1704,63.6116,41.0,75,0,4.61,TM,1699915995
232,ushirombo,-3.4919,31.9639,64.72,96,100,2.24,TZ,1699915995
233,constantia,44.1833,28.65,36.28,51,0,8.97,RO,1699915995
234,saint-denis,48.9167,2.3333,55.89,84,75,16.11,FR,1699915995
235,petropavlovsk-kamchatsky,53.0452,158.6483,26.46,74,0,28.01,RU,1699915958
236,aleksandrov gay,50.147,48.5704,43.57,88,97,7.56,RU,1699915996
237,mana,5.6592,-53.7767,79.84,86,21,11.18,GF,1699915996
238,williams,52.1415,-122.1445,44.06,48,40,4.61,CA,1699915996
239,qinzhou,21.95,108.6167,53.69,77,91,10.96,CN,1699915996
240,chibougamau,49.9168,-74.3659,24.42,86,100,11.5,CA,1699915996
241,dazhou,31.2159,107.5009,49.96,89,100,0.63,CN,1699915996
242,san antonio de pale,-1.4014,5.6325,79.47,82,63,9.04,GQ,1699915997
243,brzeg,50.8608,17.4674,44.31,84,100,13.2,PL,1699915997
244,hamilton,39.1834,-84.5333,59.63,39,20,10.36,US,1699915715
245,yambio,4.5721,28.3955,69.89,97,98,3.91,SS,1699915997
246,alice town,25.7167,-79.3,78.39,77,96,15.14,BS,1699915997
247,vallegrande,-18.4897,-64.1069,65.98,70,85,6.89,BO,1699915997
248,tual,-5.6667,132.75,81.73,76,28,7.92,ID,1699915998
249,usinsk,65.9939,57.5281,15.08,87,100,7.0,RU,1699915998
250,kapa'a,22.0752,-159.319,84.18,70,75,16.11,US,1699915998
251,horta,38.5333,-28.6333,59.02,91,100,5.01,PT,1699915998
252,college,64.8569,-147.8028,28.35,90,100,4.61,US,1699915879
253,sinop,41.7711,34.8709,54.79,92,100,3.6,TR,1699915998
254,labasa,-16.4167,179.3833,85.84,69,100,12.26,FJ,1699915999
255,waddan,29.1614,16.139,65.32,68,77,6.26,LY,1699915999
256,gadzhiyevo,69.2551,33.3362,16.34,96,99,2.13,RU,1699915999
257,ibarreta,-25.2144,-59.8585,69.31,94,100,8.12,AR,1699915999
258,ryotsu-minato,38.0833,138.4333,50.5,67,100,15.95,JP,1699915999
259,dudinka,69.4058,86.1778,9.63,86,74,11.63,RU,1699915999
260,nishinoomote,30.7333,131.0,60.21,51,11,4.72,JP,1699916000
261,coahuayana de hidalgo,18.7,-103.6583,86.65,65,48,4.99,MX,1699916000
262,sinaloa de leyva,25.8333,-108.2333,89.44,30,0,6.44,MX,1699916000
263,selkirk,50.1436,-96.8845,42.87,83,100,1.01,CA,1699916000
264,kochenevo,55.0218,82.202,31.39,94,100,10.2,RU,1699916001
265,minas de marcona,-15.2119,-75.1103,58.78,85,73,14.45,PE,1699915993
266,humaita,-7.5061,-63.0208,78.37,85,98,2.98,BR,1699916001
267,vorgashor,67.5833,63.95,1.62,93,96,6.69,RU,1699916001
268,yuzhno-kurilsk,44.0306,145.8556,36.37,80,100,20.0,RU,1699915983
269,pryluky,50.5932,32.3876,37.49,88,11,7.43,UA,1699916001
270,badger,64.8,-147.5333,28.27,91,100,4.61,US,1699916001
271,hotan,37.0997,79.9269,42.48,24,100,5.7,CN,1699916002
272,port douglas,-16.4833,145.4667,76.64,65,71,6.11,AU,1699916002
273,sovetskaya gavan',48.9723,140.2878,16.11,81,42,10.33,RU,1699916002
274,loushanguan,28.1375,106.82,46.06,87,100,1.23,CN,1699916002
275,klyuchi,52.2667,79.1667,39.22,89,100,11.14,RU,1699916002
276,sabang,5.8933,95.3214,80.74,82,100,15.88,ID,1699916002
277,nuku'alofa,-21.1333,-175.2,73.74,94,100,12.66,TO,1699916003
278,nizhneudinsk,54.9076,99.0276,27.57,87,100,4.05,RU,1699916003
279,paso de los libres,-29.7131,-57.0899,73.44,88,100,4.61,AR,1699915995
280,mirny,62.5353,113.9611,15.24,85,99,11.01,RU,1699916003
281,la'ie,21.6477,-157.9253,87.76,73,94,8.99,US,1699916003
282,pikalevo,59.5183,34.1664,30.72,99,100,3.87,RU,1699916003
283,robertsport,6.7533,-11.3686,81.5,80,100,4.38,LR,1699916004
284,laghouat,33.8,2.8651,58.32,32,2,2.95,DZ,1699916004
285,ayapel,8.3137,-75.1398,80.87,89,63,4.7,CO,1699916004
286,kailua-kona,19.6406,-155.9956,86.27,66,40,9.22,US,1699916004
287,vadso,70.0744,29.7487,15.96,86,75,16.11,NO,1699915913
288,alo,7.4178,6.7371,79.21,80,100,3.44,NG,1699916005
289,brisas de zicatela,15.8369,-97.0419,88.32,55,0,5.75,MX,1699916005
290,tiquipaya,-17.3382,-66.2189,79.52,28,40,11.5,BO,1699916005
291,kisangani,0.5167,25.2,70.36,100,88,2.24,CD,1699916005
292,kruisfontein,-34.0033,24.7314,55.9,82,81,9.26,ZA,1699915810
293,menongue,-14.6585,17.691,67.1,67,61,4.52,AO,1699916005
294,margate,51.3813,1.3862,55.9,75,29,15.99,GB,1699915414
295,palmer,42.1584,-72.3287,40.55,58,75,0.0,US,1699916006
296,nuuk,64.1835,-51.7216,23.61,86,20,15.01,GL,1699916006
297,yakeshi,49.2833,120.7333,-4.43,100,62,1.97,CN,1699916006
298,kirensk,57.7853,108.1119,24.96,95,100,10.0,RU,1699915986
299,ende,-8.8432,121.6623,81.9,77,81,2.17,ID,1699916006
300,galliano,29.4422,-90.2992,64.4,88,100,8.05,US,1699916007
301,katabu,-4.9333,122.5167,80.58,78,78,1.07,ID,1699916007
302,kerikeri,-35.2268,173.9474,68.92,77,66,1.99,NZ,1699915858
303,cooper's town,26.8667,-77.5167,77.56,81,88,11.74,BS,1699915902
304,tyukalinsk,55.8732,72.1967,32.95,91,100,7.31,RU,1699916007
305,kayenta,36.7278,-110.2546,58.01,18,26,3.71,US,1699916008
306,laguna,38.421,-121.4238,74.1,43,0,6.91,US,1699916008
307,jati,24.3539,68.2671,73.56,28,78,6.55,PK,1699916008
308,east london,-33.0153,27.9116,60.73,75,100,7.25,ZA,1699916008
309,rio brilhante,-21.8019,-54.5464,90.05,34,32,5.59,BR,1699916008
310,kapuskasing,49.4169,-82.4331,33.89,93,100,14.97,CA,1699916008
311,ghadamis,30.1337,9.5007,65.26,43,25,8.39,LY,1699916009
312,arraial do cabo,-22.9661,-42.0278,78.76,94,75,9.22,BR,1699915808
313,as sulayyil,20.4607,45.5779,70.05,39,58,8.68,SA,1699916010
314,arkhangel'sk,64.5401,40.5433,26.13,91,100,7.43,RU,1699916011
315,lihue,21.9789,-159.3672,83.44,69,75,16.11,US,1699915973
316,magistral'nyy,56.1725,107.4458,20.37,94,100,5.95,RU,1699916011
317,lockport,41.5895,-88.0578,59.0,38,0,4.61,US,1699916011
318,las heras,-46.5419,-68.9359,48.72,29,84,25.9,AR,1699916012
319,manaquiri,-3.3167,-60.35,91.85,50,93,2.35,BR,1699916012
320,cruz,-2.9178,-40.1717,80.64,76,31,16.58,BR,1699916012
321,dulovo,43.8167,27.15,44.55,67,2,6.51,BG,1699916012
322,colonia,50.9333,6.95,54.05,75,0,12.66,DE,1699916012
323,hithadhoo,-0.6,73.0833,80.69,83,57,9.89,MV,1699915959
324,camarinas,43.1311,-9.1817,66.18,97,100,26.24,ES,1699916013
325,nasir,15.5894,32.5634,90.3,21,18,12.5,SD,1699916013
326,domat,46.8348,9.4508,53.17,94,100,5.21,CH,1699916013
327,sisimiut,66.9395,-53.6735,17.51,79,100,9.06,GL,1699916013
328,al ghayzah,16.2079,52.176,78.6,75,14,3.74,YE,1699916013
329,kristiansund,63.1115,7.732,32.65,69,1,6.91,NO,1699916014
330,abu jibeha,11.4562,31.2285,83.84,35,6,4.38,SD,1699916014
331,sale,34.0389,-6.8166,71.64,100,40,0.0,MA,1699916014
332,atherton,53.5237,-2.4935,52.7,90,87,4.0,GB,1699916014
333,itoman,26.1247,127.6694,68.02,62,75,10.36,JP,1699916014
334,elko,41.0002,-115.5012,57.15,20,100,5.01,US,1699916015
335,donghai,22.9459,115.642,60.55,72,98,7.09,CN,1699916015
336,juliaca,-15.5,-70.1333,62.58,42,0,9.22,PE,1699916015
337,poronaysk,49.2167,143.1167,19.15,85,46,6.82,RU,1699916015
338,rexburg,43.826,-111.7897,60.78,16,0,12.66,US,1699916015
